epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,6588.85,0.60012,0.73233,0.32619,0.81199,0.99451,0.99811,0.99498,0.90248,0.98121,0.98485,0.98305,0.7492,0.53679,0.65868,0.30321,0.75345,0.0007055,0.0007055,0.0007055
46,6734.34,0.58969,0.72015,0.32479,0.81514,0.99641,0.99811,0.995,0.90282,0.97247,0.97348,0.97069,0.75216,0.54839,0.63294,0.29875,0.75465,0.000693125,0.000693125,0.000693125
47,6879.16,0.57826,0.7186,0.31643,0.81182,0.99672,0.99811,0.995,0.90712,0.98622,0.98388,0.98434,0.75408,0.51989,0.64088,0.28277,0.74851,0.00068075,0.00068075,0.00068075
48,7024.23,0.58073,0.71555,0.31689,0.81275,0.99708,0.99684,0.995,0.90353,0.98775,0.98674,0.98337,0.7472,0.52719,0.60074,0.28561,0.74943,0.000668375,0.000668375,0.000668375
49,7169.14,0.57919,0.71416,0.31412,0.81213,0.99635,0.99918,0.995,0.90437,0.97357,0.97646,0.97412,0.74346,0.52977,0.62411,0.28245,0.75007,0.000656,0.000656,0.000656
50,7314.41,0.57007,0.71821,0.31191,0.81422,0.99749,0.99851,0.995,0.9165,0.98457,0.98497,0.98199,0.76503,0.4901,0.5697,0.28468,0.74508,0.000643625,0.000643625,0.000643625
51,7459.63,0.58008,0.71144,0.31488,0.81354,0.99671,0.99621,0.99498,0.90776,0.98429,0.98106,0.98104,0.75924,0.52505,0.59753,0.29019,0.74802,0.00063125,0.00063125,0.00063125
52,7599.84,0.5669,0.70809,0.30581,0.8121,0.99251,0.99925,0.995,0.90832,0.98431,0.98346,0.98204,0.7375,0.51691,0.64285,0.27589,0.75063,0.000618875,0.000618875,0.000618875
53,7742.27,0.56464,0.71463,0.30316,0.81149,0.9972,1,0.995,0.90619,0.98778,0.99053,0.98714,0.76171,0.52013,0.61498,0.28332,0.74908,0.0006065,0.0006065,0.0006065
54,7887.2,0.56589,0.71985,0.30517,0.81284,0.99933,0.99991,0.995,0.914,0.98606,0.98668,0.9843,0.75014,0.51368,0.65138,0.27547,0.74834,0.000594125,0.000594125,0.000594125
55,8038.62,0.55818,0.70653,0.30178,0.81156,0.99745,0.99837,0.995,0.91309,0.98602,0.98701,0.98345,0.75482,0.50594,0.60576,0.27529,0.74522,0.00058175,0.00058175,0.00058175
56,8191.72,0.56611,0.70825,0.30719,0.81279,0.99498,0.99863,0.995,0.91749,0.98357,0.98726,0.98671,0.7624,0.49371,0.62256,0.26488,0.74648,0.000569375,0.000569375,0.000569375
57,8340.38,0.55669,0.69416,0.30287,0.8083,0.99562,0.99831,0.995,0.9149,0.99181,0.99452,0.99277,0.75275,0.4973,0.60528,0.26635,0.74679,0.000557,0.000557,0.000557
58,8484.99,0.54353,0.6814,0.29807,0.80667,0.99649,0.99837,0.995,0.91969,0.98887,0.99079,0.98726,0.76468,0.49112,0.62398,0.26189,0.74549,0.000544625,0.000544625,0.000544625
59,8629.59,0.55818,0.69867,0.30028,0.80772,0.99934,0.99811,0.995,0.91949,0.98792,0.98674,0.98527,0.76534,0.49519,0.59496,0.26553,0.7459,0.00053225,0.00053225,0.00053225
60,8774.57,0.54993,0.69258,0.29803,0.80836,0.99712,0.99841,0.995,0.91727,0.97998,0.98137,0.97453,0.75262,0.48057,0.59637,0.25664,0.7455,0.000519875,0.000519875,0.000519875
61,8918.9,0.54933,0.69969,0.29554,0.81133,0.99718,0.99873,0.995,0.91837,0.97564,0.97853,0.97387,0.75671,0.48678,0.60659,0.25651,0.74467,0.0005075,0.0005075,0.0005075
62,9063.15,0.54247,0.6863,0.29037,0.80893,0.99658,0.99824,0.995,0.91705,0.98705,0.98878,0.98692,0.75322,0.47843,0.61191,0.26021,0.74412,0.000495125,0.000495125,0.000495125
63,9207.14,0.54141,0.68761,0.28995,0.80911,0.99648,0.99811,0.995,0.91727,0.98885,0.99053,0.98619,0.76099,0.47855,0.59176,0.25733,0.74126,0.00048275,0.00048275,0.00048275
64,9351.45,0.53954,0.69294,0.29017,0.80939,0.9967,0.99811,0.995,0.91609,0.97652,0.97727,0.97411,0.75791,0.47875,0.56595,0.25619,0.7426,0.000470375,0.000470375,0.000470375
65,9496.59,0.54627,0.6849,0.28879,0.81246,0.99841,0.99984,0.995,0.9224,0.98704,0.98847,0.98457,0.76276,0.4722,0.58133,0.25572,0.74052,0.000458,0.000458,0.000458
